#Name,Restriction,Rarity,Acquire,Slots,Min Def,Max Def,Aug Def,Fire,Water,Thunder,Ice,Dragon,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4
Drachen Armet α,,8,9,31,72,78,92,-2,-2,3,-2,4,Critical Boost,1,Airborne,1,Soul of the Dragoon,1,Behemoth Mane,2,Behemoth Bone,3,Behemoth Great Horn,1,Aetheryte Shard,3
Aloy's Head α,Full,5,6,3,46,68,84,1,1,1,1,1,Affinity Sliding,1,,,Anjanath Will,1,Nora Brave Trophy,4,Anjanath Pelt+,14,Anjanath Nosebone+,6,Anjanath Gem,1
Ryu's Head,Full,2,3,0,12,44,70,2,0,5,-3,2,Attack Boost,1,,,,,SFV Ticket,7,Monster Bone M,6,Earth Crystal,6,Barroth Shell,5
Ryu's Head α,Full,7,8,11,60,72,86,2,0,5,-3,2,Attack Boost,1,Constitution,1,Rathalos Mastery,1,SFV Ticket III,4,Hunter King Coin,5,Immortal Dragonscale,6,Rathalos Plate,1
Sakura's Head α,Full,6,7,11,50,70,82,0,4,0,4,-2,Attack Boost,1,Evade Window,1,Pink Rathian Mastery,1,SFV Ticket II,4,Hunter King Coin,4,Rathian Coin,4,Pink Rathian Scale+,6
Butterfly Vertex,M,3,3,0,22,50,74,-1,-1,2,0,2,Stun Resistance,1,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1
Queen Beetle Vertex,F,3,3,0,22,50,74,-1,-1,2,0,2,Stun Resistance,1,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1
Blossom Headgear,,3,2,0,18,46,70,1,1,4,1,1,Honey Hunter,1,,,,,Spring Blossom Ticket,1,Earth Crystal,1,,,,
Blossom Headgear α,,5,6,11,40,62,78,1,1,4,1,1,Honey Hunter,1,,,,,Spring Blossom Ticket,3,Carbalite Ore,1,,,,
Harvest Flor,,3,4,0,26,54,78,4,1,1,1,1,Focus,1,,,,,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,
Harvest Flor α,,6,6,12,52,72,84,4,1,1,1,1,Focus,1,,,,,Autumn Harvest Ticket,1,Monster Hardbone,2,Monster Keenbone,1,,
Orion Cap,,4,5,0,30,54,74,1,1,1,4,1,Recovery Up,1,,,,,Winter Star Ticket,1,Monster Bone+,1,,,,
Orion Cap α,,6,6,13,58,78,90,1,1,1,4,1,Recovery Up,1,,,,,Winter Star Ticket,1,Fucium Ore,1,Monster Hardbone,1,,
Kulve Taroth's Fury α,,8,9,1,72,78,92,4,-2,3,-4,-2,Free Elem/Ammo Up,1,Agitator,2,,,Kulve Taroth Golden Scale,12,Kulve Taroth Golden Shell,7,Kulve Taroth Golden Spiralhorn,6,Nergigante Gem,1
Kulve Taroth's Fury β,,8,9,21,72,78,92,4,-2,3,-4,-2,Free Elem/Ammo Up,1,Agitator,1,,,Kulve Taroth Golden Scale,12,Kulve Taroth Golden Shell,7,Kulve Taroth Golden Spiralhorn,6,Nergigante Gem,1
Dante's Hair α,,8,8,1,64,70,84,3,-3,3,-3,3,Weakness Exploit,1,Critical Eye,1,,,Red Orb,1,Rathalos Scale+,5,Odogaron Scale+,5,Anjanath Scale+,5
Azure Starlord Crown α,,7,7,3,56,68,82,2,2,0,0,3,Agitator,1,,,Rathalos Mastery,1,Azure Stargem,1,Dodogama Scale+,5,Dodogama Hide+,6,Dodogama Jaw,3
Kirin Horn γ,,8,9,2,72,78,92,-3,-2,4,-2,2,Blight Resistance,1,Thunder Attack,3,Kirin Favor,1,Kirin Ticket,1,Kirin Hide+,3,Kirin Azure Horn,1,Kirin Thundertail,2
Vaal Hazak Helm γ,,8,9,3,72,78,92,-4,4,1,-1,-3,Recovery Up,2,Dragon Attack,1,Vaal Hazak Vitality,1,Vaal Hazak Ticket,1,Deceased Scale,5,Vaal Hazak Carapace,4,Vaal Hazak Talon,4
Kaiser Crown γ,,8,9,22,72,78,92,3,-3,1,-3,1,Critical Eye,2,,,Teostra Technique,1,Teostra Ticket,1,Teostra Carapace,5,Teostra Webbing,4,Teostra Powder,4
Kushala Glare γ,,8,9,2,72,78,92,0,2,-3,4,-2,Handicraft,2,,,Kushala Daora Flight,1,Kushala Daora Ticket,1,Daora Carapace,5,Daora Horn+,3,Daora Gem,1
Empress Crown γ,,8,9,111,70,76,90,3,1,1,-3,-2,Wide-Range,2,Peak Performance,1,Lunastra Favor,1,Lunastra Ticket,1,Lunastra Carapace,4,Lunastra Wing,3,Lunastra Mane,2
Zorah Headgear γ,,8,9,2,72,78,92,4,-3,-1,-2,-3,Windproof,2,Critical Eye,2,Zorah Magdaros Mastery,1,Zorah Magdaros Ticket,1,Zorah Magdaros Heat Scale,5,Zorah Magdaros Pleura,2,Zorah Magdaros Magma,3
Xeno'jiiva Headgear γ,,8,9,211,72,78,92,-3,2,2,2,-4,Blight Resistance,2,Power Prolonger,1,Xeno'jiiva Divinity,1,Xeno'jiiva Ticket,1,Xeno'jiiva Shell,4,Xeno'jiiva Wing,3,Xeno'jiiva Tail,2
Kulve Taroth's Fury γ,,8,9,311,72,78,92,4,-2,3,-4,-2,Power Prolonger,1,Stun Resistance,1,,,Kulve Taroth Emperor Nugget,7,Kulve Taroth Golden Scale,15,Kulve Taroth Golden Shell,12,Kulve Taroth Golden Spiralhorn,8
Diver's Mask,,3,3,0,22,50,74,1,4,1,1,1,Marathon Runner,1,,,,,Summer Twilight Ticket,1,Coral Crystal,1,,,,
Diver's Mask α,,5,6,2,46,68,84,1,4,4,1,1,Marathon Runner,1,,,,,Summer Twilight Ticket,1,Carbalite Ore,2,Quality Bone,1,,
Butterfly Vertex α,M,5,6,1,42,64,80,-1,-1,2,0,2,Stun Resistance,2,Defense Boost,1,,,Summer Insect Guide,1,Hornetaur Carapace,1,Carbalite Ore,2,Quality Bone,1
Butterfly Vertex β,M,5,6,2,42,64,80,-1,-1,2,0,2,Stun Resistance,2,,,,,Summer Insect Guide,1,Hornetaur Carapace,1,Carbalite Ore,2,Quality Bone,1
Queen Beetle Vertex α,F,5,6,1,42,64,80,-1,-1,2,0,2,Stun Resistance,2,Defense Boost,1,,,Summer Insect Guide,1,Hornetaur Carapace,1,Carbalite Ore,2,Quality Bone,1
Queen Beetle Vertex β,F,5,6,2,42,64,80,-1,-1,2,0,2,Stun Resistance,2,,,,,Summer Insect Guide,1,Hornetaur Carapace,1,Carbalite Ore,2,Quality Bone,1
Gala Suit Top Hat,,4,5,0,34,58,78,1,1,1,1,4,Critical Boost,1,Astera Blessing,1,,,Appreciation Ticket,1,Monster Bone+,3,,,,
Gala Suit Top Hat α,,7,7,211,64,76,90,1,1,1,1,4,Critical Boost,1,Astera Blessing,1,,,Appreciation Ticket,3,Elder Dragon Bone,3,High Commendation,2,,
Geralt's Head α,Full,8,9,11,70,76,90,2,1,-2,-1,3,Weakness Exploit,2,Recovery Speed,1,Witcher's Knowledge,1,Leshen Skull,1,Leshen Claw,3,Cursed Bone,4,Leshen Resin,2
Ciri's Head α,Full,8,9,311,70,76,90,-2,-1,2,1,3,Free Elem/Ammo Up,1,Evade Window,1,,,Ancient Leshen Skull,1,Ancient Leshen Claw,4,Ancient Cursed Bone,8,Leshen Resin,10
Nergigante Helm γ,,8,9,22,72,78,92,1,1,-3,1,-3,Stamina Surge,1,Agitator,1,Nergigante Hunger,1,Nergigante Ticket,1,Nergigante Carapace,4,Immortal Dragonscale,4,Nergigante Regrowth Plate,2
Sealed Eyepatch α,,5,6,21,46,68,84,3,2,0,2,0,Fire Resistance,1,,,,,Black Bandage,2,Shamos Scale+,7,Shamos Hide+,5,Piercing Claw,4
Shadow Shades α,,5,6,111,46,68,84,4,0,4,2,0,Stun Resistance,1,,,,,Black Crystal Ticket,3,Lightcrystal,1,Novacrystal,1,Dragonvein Crystal,3
Kulu-Ya-Ku Head α,,5,6,31,46,68,84,2,0,2,3,2,Pro Transporter,1,,,,,Kulu-Ya-Ku Ticket,3,Kulu-Ya-Ku Beak+,1,Kulu-Ya-Ku Plume+,4,Kulu-Ya-Ku Hide+,5
Wiggler Head α,,5,6,11,46,68,84,0,4,0,0,4,Wide-Range,2,,,,,Wiggler Ticket,3,Shamos Hide+,4,Gajau Scale,4,Coral Bone,3
Dragonseal Earrings α,Arena,7,8,0,60,72,86,0,0,0,0,0,Elderseal Boost,1,,,,,(B-Rank Arena Quests 8-9),0,,,,,,
Pulverizing Feather,Arena,4,7,0,32,56,76,0,0,0,0,0,Bombardier,3,,,,,(B-Rank Arena Quests 1-7),0,,,,,,
