#Name,Skill1,Points1,Skill2,Points2,Acquire,Material1,Points1,Materi2,Points2,Material3,Points3,Material4,Points4
Maintenance Charm III,Tool Specialist,3,,,8,Vaal Hazak Gem,1,Xeno'jiiva Veil,2,Dragonvein Crystal,2,Dreamcore Ore,1
Power Charm I,Latent Power,1,,,8,Teostra Horn+,3,Teostra Mane,2,Novacrystal,1,Dreamcore Ore,1
Power Charm II,Latent Power,2,,,8,Teostra Gem,1,Teostra Horn+,2,Firecell Stone,1,Dragoncore Ore,1
Challenger Charm I,Agitator,1,,,8,Nergigante Gem,1,Nergigante Horn+,2,Novacrystal,1,Dreamcore Ore,1
Challenger Charm II,Agitator,2,,,8,Nergigante Gem,1,Nergigante Talon,2,Fucium Ore,1,Dragoncore Ore,1
Unscathed Charm I,Peak Performance,1,,,8,Vaal Hazak Gem,1,Vaal Hazak Fang+,2,Novacrystal,1,Dreamcore Ore,1
Unscathed Charm II,Peak Performance,2,,,8,Vaal Hazak Gem,1,Vaal Hazak Talon,2,Fucium Ore,1,Dragoncore Ore,1
Mighty Charm I,Maximum Might,1,,,8,Nergigante Gem,1,Nergigante Horn+,2,Novacrystal,1,Dreamcore Ore,1
Mighty Charm II,Maximum Might,2,,,9,Xeno'jiiva Gem,1,Xeno'jiiva Tail,2,Novacrystal,1,Dragoncore Ore,1
Impact Charm I,Flinch Free,1,,,9,Xeno'jiiva Gem,1,Xeno'jiiva Horn,2,Firecell Stone,1,Dreamcore Ore,1
Impact Charm II,Flinch Free,2,,,8,Daora Gem,1,Xeno'jiiva Shell,5,Elder Dragon Bone,2,Dragoncore Ore,1
Miasma Charm I,Effluvia Resistance,1,,,8,Vaal Hazak Gem,1,Vaal Hazak Fang+,2,Novacrystal,1,Dreamcore Ore,1
Miasma Charm II,Effluvia Resistance,2,,,8,Vaal Hazak Gem,1,Vaal Hazak Talon,2,Lightcrystal,2,Dreamcore Ore,1
Miasma Charm III,Effluvia Resistance,3,,,8,High Commendation,3,Xeno'jiiva Wing,2,Dragonbone Relic,3,Dreamcore Ore,1
Normal Shots Charm,Normal Shots,1,,,8,High Commendation,2,Wyvern Gem,1,Bird Wyvern Gem,2,Dreamcore Ore,1
Clearmind Charm,Heat Guard,1,Effluvial Expert,1,8,Teostra Gem,1,Vaal Hazak Gem,1,Vaal Hazak Carapace,5,Dreamcore Ore,2
Rider's Charm,Master Mounter,1,Jump Master,1,8,Daora Gem,1,Legiana Gem,1,Legiana Scale+,5,Dreamcore Ore,2
Surveyor's Charm,Scoutfly Range Up,1,Scholar,1,8,Nergigante Gem,1,Zorah Magdaros Heat Scale,5,Zorah Magdaros Magma,3,Dreamcore Ore,2
Critical Charm I,Critical Boost,1,,,9,Rathalos Ruby,1,Rathian Ruby,1,Xeno'jiiva Gem,1,Dragoncore Ore,1
Invigorate Charm I,Power Prolonger,1,,,9,Xeno'jiiva Gem,1,Xeno'jiiva Horn,1,Novacrystal,1,Dreamcore Ore,1
Invigorate Charm II,Power Prolonger,2,,,8,Nergigante Gem,1,Xeno'jiiva Claw,2,Firecell Stone,3,Dragoncore Ore,1
Penetration Charm,Piercing Shots,1,,,9,Research Commission Ticket,1,Xeno'jiiva Gem,1,Xeno'jiiva Tail,3,Dragoncore Ore,1
Dispersal Charm,Spread/Power Shots,1,,,9,Research Commission Ticket,1,Nergigante Gem,1,Nergigante Tail,3,Dragoncore Ore,1
Poison Coating Charm,Poison Functionality,1,,,6,Rathian Ruby,1,Rathian Spike+,3,Toxin Sac,3,Dragoncore Ore,1
Para Coating Charm,Para Functionality,1,,,6,Great Girros Hood+,5,Great Girros Tail,5,Omniplegia Sac,3,Dragoncore Ore,1
Sleep Coating Charm,Sleep Functionality,1,,,6,Radobaan Medulla,1,Wyvern Gem,2,Coma Sac,3,Dragoncore Ore,1
Blast Coating Charm,Blast Functionality,1,,,8,Bazelgeuse Gem,1,Bazelgeuse Tail,3,Bazelgeuse Fuse,3,Dragoncore Ore,1
Geomancy Charm,Forager's Luck,1,Detector,1,9,Xeno'jiiva Gem,1,Xeno'jiiva Veil,3,Teostra Mane,2,Dreamcore Ore,2
Gale Charm,Affinity Sliding,1,Airborne,1,9,Research Commission Ticket,1,Odogaron Gem,1,Legiana Gem,1,Dragoncore Ore,2
Wyrmslayer Charm,Elderseal Boost,1,Dragon Attack,1,9,Research Commission Ticket,1,Xeno'jiiva Gem,1,Vaal Hazak Talon,1,Dragoncore Ore,2
Bulwark Charm,Guard Up,1,Resuscitate,1,9,Research Commission Ticket,1,Majestic Horn,2,Black Spiral Horn+,2,Dragoncore Ore,2
Fair Wind Charm,Attack Boost,1,Divine Blessing,1,1,(Pre-Order Exclusive),0,,,,,,
